"gx" "gy" 
"UNIDEN" 133.63 378.33
"GARCHE" 284.71 362.02
"ALLOZE" 192.16 411.12
"MEMEAR" 421.97 426.71
"MESUNA" 458.88 180.65
"MEMERO" 102.6 268.56
"AGROHO" 152.46 21.67
"GAERVA" 125.8 129.21
"MESUNA" 316.37 7.83
"SEMEGA" 206.45 213.7
"AGROIN" 447.4 271.57
"HUMBLA" 491.89 430.16
"PUTRRO" 482.18 189.07
"SCHUCA" 209.34 158.2
"CRYPWI" 82.41 10.7
"SYZYCY" 146.4 451.85
"GARCMO" 479.46 108.68
"LEEAIN" 36.43 146.78
"AGROIN" 294.75 40.66
"PSYCNI" 27.87 295.09
"HUMBLA" 439.31 456.76
"CHAECA" 19.47 295.6
"SHORTR" 320.86 78.7
"AGROIN" 414.35 397.5
"UROPEL" 324.2 498.46
"AGROIN" 480.21 365.83
"AGROHO" 126.76 83.1
"MYRIDA" 343.2 172.33
"GAERRO" 66.53 448
"BHESCE" 15.13 380
"HUMBLA" 465.23 260.45
"CALOTH" 355.75 461.8
"AGROIN" 268.87 125.78
"AGROIN" 12.6 99.28
"UNIDEN" 445.41 327.7
"APAMSI" 33.81 203.16
"MESUFE" 482.4 206.5
"SHORWO" 447.89 416.6
"PSYCNI" 231.11 497.65
"MESUFE" 351.08 146.37
"MEMEAR" 443.73 8.16
"UROPEL" 227.98 402.74
"SYZYNE" 90.58 200.62
"AGROHO" 171.38 78.15
"PALAPE" 278.77 101.54
"AGROIN" 276.4 113.5
"UNIDEN" 425.53 179.15
"MESUNA" 396.41 208.46
"MESUNA" 419.73 471.35
"AGROIN" 222.8 75.46
"HUMBLA" 434.34 189.34
"CHAECA" 88.19 340.45
"SHORCR" 358.37 47.43
"SCHUCA" 169.88 31.44
"UNIDEN" 434.9 82.88
"ISONLA" 466.63 292.15
"HUMBLA" 484.02 461.59
"SYZYCA" 267.39 215.23
"PALAPE" 412.6 289.08
"SCHUCA" 253.7 324.62
"MANGZE" 287.2 366.82
"SHORDI" 447 69.42
"CALOTH" 354.79 83.04
"UNIDEN" 20.97 370.89
"MESUFE" 318.2 443.87
"HUMBLA" 416.17 322.79
"UNIDEN" 351.47 97.42
"HUMBLA" 355.05 188.04
"SHORTR" 181.91 235.91
"MESUNA" 454.08 308.82
"SCHUCA" 48.51 266.3
"AGROHO" 93.08 73.95
"MESUNA" 406.51 340.86
"CHAECO" 147.85 196.98
"POMETO" 315.91 232.14
"CHAECO" 71.19 300.35
"CULLCE" 398.31 319.5
"ALLOZE" 264.5 297.13
"MYRIDA" 89.57 159.2
"AGROIN" 425.83 352.08
"GARCHE" 186.07 380.2
"HUMBLA" 362.74 61.22
"AGROIN" 456.89 271.35
"URANAP" 395.78 180.9
"HYDNOC" 48.02 1.91
"SHORTR" 89.86 460.37
"MESUNA" 445 405
"DIOSQU" 390.51 270.1
"AGROIN" 481.98 117.46
"CULLCE" 336.42 87.2
"XYLOCH" 458.02 40.49
"GARCHE" 122.52 59.6
"URANAP" 472.23 378.65
"GARCHE" 224.45 29.75
"PSYCNI" 189.27 236.13
"HUMBLA" 494.43 137.9
"SEMEWA" 54.29 430.3
"SHORME" 2.67 17.98
"UROPEL" 260.21 344.5
"SHORME" 138.77 45.15
"SHORDI" 375.46 38.68
"AGROHO" 137.15 51.8
"HUMBLA" 190.87 113.55
"AGROIN" 401.75 452.36
"AGROHO" 128.05 91.51
"MESUFE" 162.99 41.68
"AGROIN" 464.42 325.64
"HUMBLA" 375.9 222.67
"HUMBLA" 9.26 477.3
"MESUNA" 447.59 330.41
"MESUNA" 418.6 458.24
"PALATH" 319.62 15.52
"SCHUCA" 142.28 425.6
"MYRIDA" 195.5 281.95
"SHORDI" 362.89 32.17
"PRISTE" 482.85 70.19
"AGROIN" 385 421.81
"HYDNOC" 388.99 221.05
"AGROIN" 200.83 64.02
"PALATH" 393.49 270
"AGROHO" 93.42 85.99
"MALLRH" 295.7 324.3
"UROPEL" 189.04 435.57
"SHORWO" 6.23 482.16
"AGROIN" 399.24 83.14
"LITSLO" 294.55 317.75
"MESUNA" 467.99 460.66
"HUMBLA" 94.75 195.29
"MYRIDA" 342.83 190.87
"SHORDI" 467.08 141.96
"MESUNA" 244.68 123.85
"XYLOCH" 84.68 159.47
"HUMBLA" 152.22 327.06
"GLOCAC" 64.14 491.34
"HUMBLA" 20.63 37.32
"CHAECO" 141.78 201.88
"PSYCNI" 203.53 226.1
"SHORWO" 498.33 271.3
"UNIDEN" 481.96 410.05
"PALAPE" 493.4 416.82
"SHORCR" 447.02 423.3
"SYZYNE" 193.98 167.78
"DIOSIN" 84.63 34.69
"MYRIDA" 35.36 455.77
"PSYCNI" 78.62 400.67
"SEMEGA" 50.37 419.76
"ANISCI" 342.22 219.82
"SHORDI" 482.95 253.5
"SHORDI" 237.88 46.02
"CALOTH" 249.33 149.09
"MESUNA" 491.68 130.05
"SYZYSY" 256.21 421.15
"UNIDEN" 360.74 343.96
"MYRIDA" 305.67 266.6
"GYRIWA" 293.71 115.73
"HUMBLA" 430.19 101.04
"HOPEDI" 396.25 69.12
"UROPEL" 295.97 457.48
"SHORTR" 291.15 290.97
"SYMPCU" 412.28 7.73
"MEMEAR" 429.63 109.55
"ALLOZE" 312.78 313.96
"SYZYWI" 173.36 201.1
"SHORDI" 353.71 337.35
"AGROIN" 303 10.97
"DIOSAL" 309.36 55.2
"MESUNA" 380.15 167.02
"MESUNA" 28.08 471.46
"UNIDEN" 160.2 411.76
"SHORAF" 405.99 84.89
"SHORDI" 377.94 43.41
"UROPEL" 95.45 239.92
"AGROIN" 162.08 352.55
"MANGZE" 394.15 464.81
"MEMEAR" 19.09 223.81
"CALOTH" 326.7 80.89
"HUMBLA" 367.77 66.13
"SHORWO" 460.59 430.45
"MANGZE" 184.88 71.96
"AGROIN" 395.54 162.81
"SEMEAC" 71.65 303.9
"CULLCE" 18.65 7.26
"GARCHE" 438.64 362.45
"HUMBLA" 137.71 164.62
"GARCHE" 359.88 365.05
"HUMBLA" 4.1 30.9
"HUMBLA" 346.1 50.36
"GARCHE" 390.71 459.04
"HUMBLA" 489.41 175.33
"AGROIN" 441.9 91.74
"UROPEL" 118.56 466.07
"AGROIN" 411.67 65.1
"ALLOZE" 110.25 486.35
"SHORCR" 349.66 0.53
"MESUNA" 267.74 115.5
"MESUNA" 417.73 477.08
"SEMEWA" 174.37 69.5
"GAERRO" 70.65 126
"AGROIN" 451.89 471.92
"MESUNA" 397.17 335.05
"UROPEL" 7.41 313.78
"MESUFE" 377.5 242.69
"UNIDEN" 431.22 153.62
"HUMBLA" 499.64 115.98
"HUMBLA" 202.64 322.12
"DIOSHI" 93.78 326.17
"GARCHE" 426.89 459.17
"ALLOZE" 94.3 461.79
"HUMBLA" 134.71 203.08
"UNIDEN" 2.48 193.17
"AGROHO" 122.68 86.93
"SHORME" 135.48 25.31
"HUMBLA" 313.89 381.27
"SHORDI" 302.16 65.98
"MESUNA" 420 131.17
"GLOCAC" 3.11 375.31
"MESUNA" 465.54 484.8
"AGROIN" 434.3 84.96
"MEMERO" 470.35 178.04
"MESUFE" 465 242.77
"HUMBLA" 9.32 29.27
"SHORAF" 204.03 11.96
"HUMBLA" 358.18 6.7
"SHORTR" 371.33 19.32
"AGROIN" 475.21 102.46
"PSYCDU" 165.5 258.76
"AGROIN" 272.64 8.77
"MESUNA" 206.91 59.39
"HUMBLA" 5.13 464.9
"HUMBLA" 372.04 351.84
"AGROIN" 480.54 450.31
"GAERVA" 493.76 293.38
"UNIDEN" 182.82 280.63
"PALAPE" 343.33 132.28
"SHORDI" 455.69 168.5
"HUMBLA" 366.02 193.02
"NARGMA" 469.9 154.79
"AGROHO" 194.81 120.71
"SHORDI" 106.19 343.93
"GAERVA" 158.3 253.66
"PALAPE" 447.7 439.18
"HOPEJU" 352.84 137.55
"LITSLO" 277.04 439.25
"AGROHO" 87.43 67.19
"PALACA" 496.04 365.14
"PSYCNI" 199.17 249.35
"SYZYNE" 160.82 164.53
"PSYCNI" 26.06 313.9
"PALAPE" 340.83 63.5
"SYZYNE" 340.36 405.2
"GAERVA" 60.47 12.23
"AGROIN" 359.46 365.74
"HUMBLA" 406.21 461.33
"NARGMA" 416.31 96.98
"CALOTH" 6.86 94.9
"SYZYWI" 243.28 326.4
"SHORDI" 195.38 107.1
"UNIDEN" 232.57 280.24
"AGROHO" 127.13 39.71
"GAERVA" 87.27 323.62
"MESUNA" 25.78 101.57
"SEMEGA" 217.68 234.81
"TRICER" 206.37 419.55
"HUMBLA" 40 101.46
"SHORDI" 465.58 231.64
"SHORDI" 434.26 363.75
"DIOSAC" 389.86 439.31
"AGROHO" 89.33 55.82
"SCHUCA" 54.68 240.5
"AGROHO" 90.47 84.17
"SYZYWI" 369.38 205.05
"PSYCNI" 35.08 426.97
"SHORDI" 499.71 1.25
"AGROHO" 203.86 15.09
"CALOTH" 351.41 84.54
"AGROIN" 136.63 342.16
"MEMEAR" 477.84 3.93
"GARCSP" 11.94 18.28
"UNIDEN" 16.62 75.56
"UROPEL" 273.36 338.03
"SEMEWA" 386.12 408.26
"PALATH" 373.29 101.79
"SHORDI" 425.13 296.3
"GARCHE" 47.04 108
"MEMEAR" 136.21 202.6
"GAERVA" 135.67 117.89
"SYMPCU" 54.56 97.52
"AGROHO" 106.91 63.94
"SHORWO" 476.08 183.85
"SHORDI" 405.83 78.88
"MESUNA" 372.42 153.65
"GAERVA" 169.1 403.05
"PSYCDU" 285 297.3
"UNIDEN" 280.91 284.26
"UNIDEN" 497.62 401.68
"GAERVA" 144.13 456.94
"EUPHLO" 50.59 358.73
"CULLRO" 379.38 64.05
"AGROIN" 224.71 39.71
"SHORDI" 423.78 425.05
"XYLOCH" 55.78 186.4
"UNIDEN" 89.35 308.95
"PSYCNI" 201.23 239.76
"SHORAF" 445.43 333.69
"NARGMA" 190.31 383.05
"PSEUCH" 4.1 204.8
"MEMEVA" 25.83 141.47
"GARCMO" 184.38 261.23
"SHORCR" 211.22 50.26
"HUMBLA" 360 112.48
"SHORWO" 424.78 388.01
"MESUNA" 414.05 439.72
"SCHUCA" 259.53 162.45
"LITSIT" 390 166.54
"SHORTR" 56.64 268.58
"SHORAF" 99.65 338.01
"AGROHO" 182.07 55.48
"PALAPE" 495.73 334.6
"HUMBLA" 416.39 12.64
"PSYCPL" 168.27 435.87
"SHORDI" 207.01 96.51
"HUMBLA" 400.63 199.7
"SEMEWA" 360.49 280.48
"MESUFE" 295.9 57.84
"HUMBLA" 493.3 177.01
"GARCHE" 200.77 457.85
"UROPEL" 31.55 363.55
"AGROIN" 231.57 1.58
"LITSGA" 453.82 264.13
"AGROHO" 72.8 73.67
"DIOSAC" 296.18 96.27
"MESUNA" 270.58 2.11
"SYZYWI" 254.5 338.22
"MEMEAR" 431.01 25.89
"SYMPHI" 2.08 324.09
"GAERVA" 98.37 292.1
"SEMEWA" 51.52 167.3
"CULLRO" 136.39 358.27
"SHORAF" 85.93 177.35
"MESUNA" 375.74 7.97
"MESUNA" 446.98 347.36
"PALATH" 333 28.98
"SHORAF" 400.54 442.83
"GAERVA" 34.56 202.19
"UNIDEN" 470.29 486.77
"PUTRRO" 466.8 201.72
"AGROHO" 78.53 77.38
"AGROHO" 109.47 59.77
"GLENUN" 145.92 114.53
"NEOLCA" 223.67 200.55
"MESUNA" 496.41 257.71
"PSYCDU" 360.7 338.94
"GARCHE" 36.64 211.94
"GAERVA" 178.92 448.33
"MANGZE" 419.84 446.3
"PALAPE" 411.83 182.3
"GARCHE" 404.47 368.43
"AGROIN" 190.37 101.59
"SYZYSP" 100.53 101.35
"CRYPWI" 197.3 262.55
"HUMBLA" 478.46 152.5
"AGROIN" 404.15 488
"SYZYNE" 267.5 321.1
"SCHUCA" 195.14 253.61
"CULLCE" 96.83 367.1
"HUMBLA" 365.3 420
"GARCHE" 59.34 196.13
"AGROHO" 24.79 71.05
"AGROHO" 248.17 27.59
"AGROIN" 419.67 99.74
"GAERRO" 397.15 260.97
"GLOCAC" 194.81 303.45
"SHORME" 59.4 34.11
"AGROIN" 446.46 446.91
"MESUNA" 118.68 372.13
"AGROIN" 410.17 80.16
"HUMBLA" 496.92 147.07
"AGROIN" 468.88 209.37
"MESUNA" 110.24 186.9
"HUMBLA" 281.65 403.87
"HUMBLA" 108.66 172.11
"CRYPWI" 276.58 182.92
"AGROIN" 477.55 172.87
"XYLOCH" 313.66 404.9
"GARCHE" 219.05 311.15
"TIMOJA" 115.3 162.45
"MEMEAR" 469.22 274.44
"MESUNA" 364.61 72.98
"UROPEL" 232.11 485.5
"UNIDEN" 166.47 309.86
"MESUNA" 419.31 254.82
"UNIDEN" 135.05 383.9
"GARCHE" 34.31 95.54
"MESUFE" 416.52 394.72
"GAERRO" 36.62 456.63
"SHORDI" 496.1 335.9
"PSYCDU" 348.78 320.69
"UNIDEN" 484.35 170.74
"HUMBLA" 433.29 203.68
"DIOSAC" 285.82 134.39
"HUMBLA" 466.33 195.19
"GARCHE" 83.8 34.74
"MESUNA" 388.25 160.38
"AGROIN" 436.65 98.76
"MEMERO" 107.73 155.89
"GARCHE" 53.82 125.05
"AGROHO" 186.5 34.8
"HUMBLA" 149.13 330.2
"AGROIN" 455.64 320.92
"PSYCPL" 147.38 488.2
"CULLRO" 462.34 71.9
"CULLRO" 291.96 92.08
"SYMPCO" 79.4 241.53
"CRYPWI" 50.98 482.5
"HUMBLA" 296.5 110.7
"HUMBLA" 338.38 385.61
"SHORTR" 249.17 317.48
"LITSLO" 82.9 457.55
"MESUNA" 168.1 330.82
"ANISCI" 95.75 497.12
"UNIDEN" 40.13 47.62
"SHORTR" 85.48 165.61
"HUMBLA" 415.65 272.08
"GARCHE" 227.59 356.46
"HUMBLA" 124.12 225
"AGROIN" 433.89 362.6
"LITSLO" 246.44 305.7
"CHAECA" 78.18 442.79
"AGROIN" 415.48 416.07
"SHORAF" 463.69 28.27
"NOTHBE" 370.89 198.94
"MESUNA" 444.74 169.29
"MESUNA" 420.7 368.04
"HUMBLA" 405.72 475.49
"AGROHO" 180.33 17.55
"NARGMA" 308.93 24.02
"MESUNA" 358.64 484.17
"PSYCNI" 225.69 157.02
"SYZYNE" 332.27 417.26
"MESUNA" 343.05 383.84
"MESUNA" 406.25 95.63
"MESUFE" 202.52 130.14
"GARCHE" 75.68 99.66
"SHORCR" 379.95 196.74
"GARCHE" 300 475
"AGROIN" 429.52 64.95
"AGROIN" 364.29 187.59
"HUMBLA" 432.35 6.57
"HUMBLA" 442.71 246.8
"DIOSAC" 376.53 114.86
"SHORME" 176.42 44.5
"UROPEL" 205.83 492.78
"MESUNA" 481.1 180.09
"XYLOCH" 305.99 6.6
"SYZYSP" 95.37 150.72
"CULLRO" 424.05 146.04
"BHESCE" 484.96 339.85
"HUMBLA" 245.94 62.84
"POMETO" 199.02 405.85
"SHORCR" 376.65 363.37
"AGROHO" 79.02 79.57
"SHORDI" 364.25 91.35
"GARCHE" 195 338.98
"MESUFE" 343.28 81.57
"SHORCR" 397.07 454.07
"MEMERO" 488.7 122.65
"XYLOCH" 313.43 101.18
"MANGZE" 493.17 290.29
"AGROIN" 467.18 355.98
"PALACA" 375.26 311.68
"IXORJU" 215.47 52.63
"CULLCE" 368.88 383.41
"AGROIN" 466.17 162.81
"HUMBLA" 408.17 329.95
"UNIDEN" 294.09 408.3
"ANISCI" 64.68 163.75
"LITSLO" 199.56 200.83
"UNIDEN" 281.67 238.49
"MANGZE" 177.67 305.23
"SCHUCA" 126.05 421.56
"UNIDEN" 465 240
"GLENUN" 244.25 90.24
"PSYCNI" 182.35 300.39
"LEEAIN" 47.35 288.6
"SYZYSP" 348.42 427.3
"SHORDI" 466.8 344.62
"SHORCR" 391.27 271.9
"HUMBLA" 456.84 208.94
"MESUNA" 265.6 116.04
"SHORDI" 458.88 46.4
"SYZYWI" 270.81 87.02
"MEMEPR" 314.13 90.52
"CALOTH" 254.2 4.51
"GARCHE" 227.2 47.74
"DIOSHI" 274.11 218.95
"PSYCNI" 48.52 374.73
"SHORCR" 318.15 61.27
"AGROHO" 126.19 79.34
"GLOCAC" 74.42 281.24
"HYDNOC" 327.11 177.11
"XYLOCH" 412.99 349.49
"SYZYNE" 79.17 205.93
"MESUNA" 421.29 148.96
"SHORCR" 376.57 72.5
"MEMEAR" 419.9 373.25
"GARCHE" 273.87 150.05
"GARCHE" 171.36 446.44
"AGROIN" 437.55 366.61
"MESUFE" 379.92 240.23
"GAERVA" 92.36 495.43
"HUMBLA" 112.63 166.03
"LEEAIN" 53.88 136.67
"SHORAF" 420 277.19
"SHORTR" 142.1 272.69
"PSYCDU" 104.21 445.23
"SYZYSP" 105.9 145.68
"PALACA" 344.86 267.69
"MACAIN" 208.85 252.67
"HUMBLA" 337.89 384.09
"PSYCNI" 123.61 24.91
"SHORDI" 395.85 118.64
"SHORME" 266.37 95.53
"LITSLO" 122.36 245.75
"GLOCAC" 129.95 450.4
"UNIDEN" 444.05 16.94
"AGROHO" 173.28 65.1
"CULLCE" 353.78 308.01
"HUMBLA" 361.11 219.18
"URANAP" 193.43 189.8
"BHESCE" 19.47 240.49
"ALLOZE" 126.02 286.37
"UROPEL" 46.21 460.96
"MESUNA" 423.94 425.24
"SHORDI" 299.68 11.76
"SHORCR" 413 31.03
"HUMBLA" 417.36 449.7
"HUMBLA" 3.71 51.35
"SHORDI" 246.62 54.5
"HUMBLA" 212.12 324.62
"HUMBLA" 21.68 107.76
"PSYCNI" 184.36 250.85
"GARCHE" 341.18 481.47
"AGROIN" 468.03 103.7
"UNIDEN" 19.95 36.44
"SHORTR" 51.7 462.05
"AGROIN" 442.03 494.38
"MESUNA" 204.21 357.26
"AGROIN" 402.17 499.23
"MESUFE" 120.54 64.17
"SHORCR" 466.27 407.58
"MYRIDA" 369.49 52.79
"MESUNA" 485.69 265
"SHORCR" 476.36 357.06
"GARCHE" 85.67 217.7
"HUMBLA" 423.04 286
"GAERRO" 234.29 283.81
"HUMBLA" 120.97 341.11
"GLOCAC" 18.85 205.92
"GAERRO" 367.83 135.29
"SHORAF" 479.48 429.9
"AGROIN" 426.8 152.77
"PSYCNI" 137.8 413.63
"SYZYSP" 105.1 144.42
"UROPEL" 78.6 292.24
"UNIDEN" 259.29 370.25
"HUMBLA" 392.02 350.52
"MEMEAR" 433.39 29.38
"CULLRO" 476.85 96.06
"LEEAIN" 41.35 308.14
"XYLOCH" 261.96 126.42
"SHORAF" 12.08 466.81
"MESUNA" 445.45 204.05
"UROPEL" 16.95 350.69
"AGROHO" 89.91 81.16
"AGROIN" 463.39 151.2
"HUMBLA" 382.13 56.59
"AGROIN" 130.35 341.68
"SHORWO" 199.06 65.71
"UNIDEN" 335.97 189.12
"CULLRO" 246.91 78.77
"SEMEWA" 335.97 409.95
"SEMEWA" 256.38 91.96
"AGROIN" 395.22 345.05
"GAERVA" 4.33 147.43
"PSYCNI" 101.67 155.76
"SHORAF" 356.82 199.73
"SHORAF" 396.2 45.42
"AGROIN" 467.68 81.47
"UNIDEN" 275.6 295.4
"LITSIT" 46.3 494.76
"SHORTR" 67.28 328.29
"AGROIN" 295.1 30.68
"GARCTE" 406.38 74.48
"MESUNA" 494.08 348.66
"MESUNA" 398.26 68.48
"HUMBLA" 349.79 19.45
"HUMBLA" 430.35 201.42
"GARCHE" 448.36 6.43
"CARACA" 266.15 478.45
"SHORDI" 468 25.47
"MASTTE" 229.51 433.11
"GLENUN" 187.35 413.01
"HUMBLA" 102.4 221.62
"PSYCNI" 115.14 485.8
"AGROIN" 445.34 402.62
"XYLOCH" 67.15 5.25
"GARCMO" 226.3 35.29
"URANAP" 343.82 70.96
"AGROIN" 276.75 20
"CALOTH" 344.63 200.25
"LIJNGA" 158.93 373.79
"CULLRO" 447.81 355.56
"HUMBLA" 356.16 56.49
"GARCHE" 225.76 130.83
"UNIDEN" 11.94 42.87
"HUMBLA" 167.96 185.36
"PALACA" 177.91 160.57
"SEMEGA" 47.16 438.55
"AGROIN" 482.26 360.92
"HUMBLA" 406.79 305.52
"MEMERO" 239.62 467.02
"AGROIN" 388.1 344.1
"CALOTR" 67.6 360.83
"SHORME" 123.65 64.56
"CULLCE" 99.83 103.88
"MESUNA" 394.56 410.94
"MESUNA" 407.29 324.43
"TIMOJA" 35.38 475.57
"MESUNA" 195.35 16.8
"SCHUCA" 196.4 260.24
"CULLCE" 56.62 29.56
"MESUNA" 397.9 242.23
"SHORWO" 171.95 356.7
"SHORDI" 470.34 8.47
"SHORDI" 188.93 100.25
"TRICER" 9.8 190.69
"SHORDI" 352.24 158.06
"AGROIN" 376.59 176.3
"MESUNA" 126.63 362.55
"AGROHO" 193.94 111.03
"PSYCNI" 64.15 12.33
"AGROHO" 99.2 73.37
"DIOSQU" 437.61 480.83
"SHORAF" 386.76 18.07
"MESUNA" 213.47 11.65
"MESUNA" 4.62 47.18
"CHAECO" 190.85 433.88
"SHORME" 370 280.6
"GAERVA" 207.75 419.7
"ELAEGL" 47.28 454.8
"AGROIN" 131.96 370.87
"HUMBLA" 464.41 423.61
"HUMBLA" 389.35 78.27
"MESUNA" 350.44 114.05
"PALATH" 398.84 298.92
"MESUNA" 477.52 16.25
"SEMEWA" 295.28 385.67
"PALACA" 180.59 159.96
"AGROHO" 173.19 32.2
"ACTIAL" 151.85 486.86
"MESUNA" 367.67 346.92
"SEMEWA" 55 194.61
"MESUNA" 479.78 91.87
"HUMBLA" 378.46 176.55
"MESUNA" 368.6 89.86
"MESUNA" 365.43 461.52
"LIJNGA" 113.35 483.86
"PSYCNI" 191.57 290.39
"HUMBLA" 430.47 93.43
"EUPHLO" 82.05 446.93
"SEMEWA" 162.43 59.31
"PSYCNI" 128.17 489.85
"MADHFU" 324.36 107.99
"SHORAF" 418.33 121.59
"MESUFE" 382.63 258.8
"SEMEWA" 90.84 464.4
"AGROIN" 464.41 54.1
"UROPEL" 49.47 235.97
"PALATH" 417.71 449
"HYDNOC" 431.22 6.18
"PSEUCH" 201.48 434.63
"HUMBLA" 20.28 95.29
"MESUFE" 341.97 32.36
"EUPHLO" 334.13 250.94
"EUGERI" 169.13 48.6
"SYZYWI" 253.77 367.08
"MESUNA" 445.93 108.65
"GAERRO" 108.64 483.95
"AGROIN" 488.4 26.04
"SEMENI" 303.43 21.55
"PSYCNI" 105.27 6.61
"MESUFE" 169.13 47.9
"CULLCE" 277.78 257.61
"MESUNA" 434.8 248.7
"HUMBLA" 122.14 211.86
"SHORAF" 203.71 40.52
"PSYCNI" 240.7 255.98
"HYDNOC" 51.83 10.05
"AGROIN" 483.03 485.33
"AGROIN" 315.8 75.82
"XYLOCH" 264.53 366.9
"UROPEL" 58.39 290.1
"SHORDI" 180.56 353.47
"GAERVA" 151.5 457.88
"PALAPE" 362.22 427.11
"PSYCNI" 196.35 190.82
"PALACA" 332.89 7.54
"HUMBLA" 357.16 177.72
"SHORCR" 353.18 16.32
"AGROIN" 398.63 50.61
"PALACA" 282.92 128.24
"AGROIN" 373.32 91.52
"AGROIN" 351.36 70.34
"HUMBLA" 335.57 443.67
"HUMBLA" 467.55 16.86
"HUMBLA" 453 385.78
"AGROHO" 238.75 18.73
"SHORCR" 414.41 59.21
"MESUNA" 205.3 351.68
"SEMEWA" 103.9 138.64
"PALAPE" 488.2 493.87
"MESUNA" 381.2 79.66
"SEMEWA" 265.39 206.5
"PALAPE" 424.91 102.7
"AGROHO" 199.6 141.14
"MESUNA" 393.14 383.79
"UNIDEN" 126.46 161.33
"SEMEGA" 32.74 366.5
"VITEAL" 95.29 483.5
"SYZYNE" 236.06 482.55
"AGROIN" 244.64 11.83
"SHORAF" 33.75 385.38
"GLOCAC" 84.26 151.42
"UNIDEN" 443.04 280.4
"PSYCNI" 4.3 165.19
"SCHUCA" 324.26 340.58
"MEMEAR" 122.35 332.5
"CULLCE" 84.33 47.95
"HUMBLA" 114.41 210.39
"MESUFE" 252.5 67.16
"PSYCNI" 238.45 356.7
"MANGZE" 470.14 276.25
"SEMEWA" 66.57 363.67
"CULLCE" 298.98 395.48
"UROPEL" 8.83 335.22
"CHAECA" 258.66 459.85
"MESUFE" 350.39 430.5
"GARCHE" 66.55 66.25
"AGROIN" 435.89 4.76
"HUMBLA" 319.62 117.06
"HUMBLA" 166.4 332.4
"HUMBLA" 320.57 90.98
"MYRIDA" 156.12 293.93
"PUTRRO" 126 404.63
"PALATH" 432.15 81.1
"SEMEWA" 241.55 452.35
"SEMEWA" 274.45 243
"SHORST" 82.97 351.62
"HUMBLA" 481 178.37
"MESUNA" 208.33 300.92
"AGROHO" 173.16 82.42
"AGROIN" 385.93 309.8
"HOMACE" 330 269.17
"CULLCE" 375.3 103.97
"AGROHO" 85.8 71.2
"PALACA" 257.83 227.55
"UROPEL" 36.94 294.34
"ANTIPY" 44.55 222.64
"SCOLAC" 219.21 369.86
"SHORAF" 362.46 292.77
"CHIOAL" 208.05 273.78
"SHORME" 188.85 29.06
"CINNCA" 185 187.89
"SYZYNE" 142.1 160.36
"HUMBLA" 117.5 51.16
"UROPEL" 28.81 272.4
"MESUFE" 400.99 384.02
"PALACA" 24 278
"AGROHO" 168.58 54.05
"HUMBLA" 93.87 175.56
"SHORST" 484.25 184.86
"LASIOB" 138.75 472.18
"GLOCAC" 215.25 253.56
"PALACA" 91.86 176.36
"PALACA" 143.12 122.1
"SHORDI" 407.04 377.13
"MESUNA" 427.12 251.49
"PALAPE" 471.73 466.06
"MANGZE" 429.42 115.66
"GARCSP" 147.99 498.73
"MESUNA" 21.21 496.7
"MESUNA" 478.52 429.49
"SCHUCA" 287.64 183.88
"HUMBLA" 452.96 152.5
"STRONA" 240.98 103.68
"PALAPE" 471.03 292.94
"PSYCNI" 287.5 392.83
"SHORME" 254.95 78.66
"UROPEL" 122.98 272.88
"HUMBLA" 388.08 162.64
"AGROHO" 161.08 98.01
"MESUNA" 437.19 278.45
"MESUNA" 103.17 199.36
"AGROIN" 438 350.17
"MESUFE" 326.7 31.29
"GAERVA" 260.97 497.7
"UNIDEN" 152.36 416.93
"PSYCNI" 149.52 410.78
"AGROIN" 346.36 379.56
"PALACA" 218.28 412.26
"GAERVA" 114.41 273.22
"CULLCE" 406.99 394.76
"PSEUCH" 75.67 158.79
"SHORDI" 248.3 75
"HUMBLA" 470.45 39.24
"UNIDEN" 373.17 341.89
"MESUNA" 370.27 70.34
"PALACA" 218.46 117.33
"MESUFE" 259.25 78.66
"SHORAF" 457.38 254.41
"XYLOCH" 485.29 115.46
"PSYCDU" 392.79 256.98
"GARCHE" 297.55 178.14
"PALAPE" 328.74 202.46
"ALLOZE" 91.04 140.89
"AGROIN" 223.57 3.64
"PALATH" 411.75 96.94
"PALACA" 115.05 228.09
"AGROIN" 498.93 375.49
"ANISCI" 8.92 19.8
"PALATH" 414.86 356.76
"GARCHE" 476.76 164.55
"UNIDEN" 65.05 351.79
"PALACA" 180.38 377.14
"GARCHE" 219.42 90
"HUMBLA" 170.68 184.69
"TRICER" 194.29 260.99
"SHORME" 60.3 60.72
"HUMBLA" 215.9 93.62
"GARCHE" 139.29 219.42
"PSYCNI" 285.74 429.1
"SYZYNE" 290.46 488.32
"ELAESU" 130.91 242.92
"PALACA" 90.62 233.27
"MESUNA" 206.88 14.71
"GOMPSE" 44.31 185.38
"PSYCDU" 97.72 76.2
"SHORST" 127.88 233.93
"SHORDI" 340.22 386.95
"HUMBLA" 420.41 133.67
"AGROIN" 420.41 348.45
"UROPEL" 324.79 459.76
"MESUNA" 200.45 8.94
"SHORWO" 496.06 330.54
"DESMEL" 312.4 193.38
"MESUNA" 362.42 481.85
"MESUNA" 458.73 475.8
"MESUNA" 378.09 100.45
"MESUFE" 137.5 62.74
"SHORCR" 416.78 446.1
"HUMBLA" 448.63 269.74
"CHAECA" 142.14 292.56
